mse_decoded,psnr_decoded,ssim_decoded,mse_enhanced,psnr_enhanced,ssim_enhanced,mse_improvement,psnr_improvement,ssim_improvement,image_idx,q_y,q_c
6.936806117008811,39.719208046832,0.9925496003879553,21.3486773625953,34.837093869832,0.94486935756453,-14.41187124558649,-4.882114176999998,-0.0476802428234252,37,1,2
7.095803210145607,39.62078798285074,0.9904430605301068,17.875268032902138,35.60827798264015,0.939045063895458,-10.77946482275653,-4.01251000021059,-0.051397996634648724,38,1,2
6.645356952451256,39.90562047023873,0.9910541978161337,9.832090080536808,38.20434512012616,0.9645932008822902,-3.186733128085552,-1.7012753501125673,-0.026460996933843517,39,1,2
6.131149866032371,40.25538428985429,0.9019615594607862,9.953869047619047,38.15088437969102,0.8939627560167728,-3.8227191815866766,-2.1044999101632698,-0.00799880344401338,40,1,2
7.058062932563117,39.64394834480253,0.9877059915423828,11.914908585645545,37.36989646195675,0.9344326910045956,-4.856845653082428,-2.2740518828457823,-0.05327330053778723,41,1,2
6.783491785206537,39.81627057460663,0.9961578437491818,14.425329768349268,36.53954610794915,0.9581412995669848,-7.641837983142731,-3.276724466657477,-0.03801654418219702,42,1,2
6.106530384873766,40.272858384649794,0.9886801602322769,11.124544978752656,37.66798104563997,0.9614888466719712,-5.01801459387889,-2.6048773390098248,-0.027191313560305685,43,1,2
0.7479825519856893,49.391888935712494,0.9980879443269696,13.583622115594926,36.80064769490018,0.9235328677949329,-12.835639563609236,-12.591241240812316,-0.07455507653203663,44,1,2
6.684173633569241,39.88032637910836,0.98769172421897,5.966903551118611,40.373313428923396,0.9736004955431952,0.7172700824506304,0.49298704981503505,-0.014091228675774836,45,1,2
5.891203907128796,40.428763060137214,0.9889688244644623,8.27158299548494,38.95491729137,0.9296433859234671,-2.3803790883561433,-1.4738457687672124,-0.05932543854099526,46,1,2
6.846885472323772,39.775872973724034,0.9864315633734714,26.614032498867328,33.879696779992074,0.9430105011711261,-19.767147026543554,-5.896176193731961,-0.04342106220234532,47,1,2
7.075766896325459,39.63306843768028,0.9914159757904718,15.416298182453756,36.251002590037345,0.9653432366828625,-8.340531286128297,-3.3820658476429344,-0.026072739107609322,48,1,2
6.715263375281215,39.860173103280744,0.9856038947171379,16.839976179735345,35.86738888016442,0.9409016017818645,-10.12471280445413,-3.992784223116324,-0.04470229293527339,49,1,2
6.935441053266779,39.720062760052215,0.9921203901100065,16.13704915303556,36.052562390145965,0.9532387739427696,-9.20160809976878,-3.66750036990625,-0.038881616167236954,50,1,2
6.266153254280715,40.160793484463035,0.9892493724578876,15.776294320631797,36.15075361050061,0.9008038390949946,-9.510141066351082,-4.010039873962427,-0.08844553336289296,51,1,2
7.334320636678227,39.47720468647175,0.9895043414847238,13.81586615637889,36.72702243591922,0.9689832726289724,-6.481545519700663,-2.750182250552534,-0.020521068855751334,52,1,2
6.119746018075865,40.263469624538885,0.989165799550476,7.92130231767904,39.14283772348403,0.9636297370338726,-1.8015562996031749,-1.1206319010548569,-0.025536062516603453,53,1,2
6.810569089020123,39.79896957927976,0.9911842049957067,9.423970807360018,38.38846428737075,0.9664041281058907,-2.6134017183398948,-1.4105052919090113,-0.024780076889815983,54,1,2
7.346554825178103,39.46996636911145,0.9914819462989616,14.987151386350144,36.37361266695637,0.9386265642570959,-7.640596561172041,-3.0963537021550778,-0.052855382041865684,55,1,2
6.531857468011811,39.980436614614746,0.987977143502655,16.208062615219973,36.03349255075793,0.9606263506208638,-9.676205147208162,-3.9469440638568187,-0.02735079288179121,56,1,2
6.927461948115861,39.7250621194503,0.9807223862636167,9.584282311390764,38.31520763202323,0.9573726448728613,-2.6568203632749032,-1.4098544874270686,-0.023349741390755407,57,1,2
6.798552768794526,39.80663888076367,0.9916593542366586,18.56842760377609,35.44305232137083,0.9740415586583548,-11.769874834981565,-4.363586559392843,-0.017617795578303785,58,1,2
6.9721952480549305,39.697108203580164,0.9927182904501627,16.308951493368017,36.00654319832651,0.9624554670412572,-9.336756245313087,-3.690565005253653,-0.030262823408905515,59,1,2
7.284369361056431,39.5068840186122,0.9904820683647784,16.909000510678354,35.8496242361469,0.9420122580256404,-9.624631149621923,-3.657259782465296,-0.048469810339138,60,1,2
7.118257068452381,39.60706692823239,0.9762115750480381,12.975591429977502,36.99953198669432,0.9425303361174583,-5.857334361525121,-2.60753494153807,-0.03368123893057984,61,1,2
4.2208016234298835,41.87685419960674,0.9921865067901617,4.636882791994751,41.46854242637246,0.9831758063906554,-0.4160811685648671,-0.40831177323428136,-0.009010700399506355,62,1,2
