mse,psnr,ssim,L_dc_bits,L_ac_bits,L_total_bits,bpp,compression_ratio,entropy_dc,entropy_ac,entropy_bpp_est,num_dc_symbols,num_ac_symbols,image_idx,q_y,q_c
6.888611091582302,39.749486942675226,0.9929058865956802,917120,18473203,19390323,7.100060856650731,3.380252716780427,7.136508464981937,5.196347186407718,7.067805595008894,128016,3538764,70,1,1.6
7.167870739790339,39.57690195896591,0.969008797612071,725163,8895441,9620604,3.522730068897638,6.812897818057992,5.630485744178113,4.787754599955622,3.4930312564329227,128016,1841929,0,2,3.2
6.502951047134733,39.999698761263936,0.9906237171974479,580479,8654081,9234560,3.381374203224597,7.097706008732414,4.523072739631903,5.053162716783592,3.3643858573597156,128016,1703713,1,2,3.2
7.0585507866204225,39.64364817037067,0.9872171443225991,623413,9850432,10473845,3.8351572020294338,6.257892111254272,4.833463492606721,4.806354804266013,3.805648676264575,128016,2033661,2,2,3.2
7.7765562507811525,39.22293043105465,0.983091731266598,827979,17060994,17888973,6.550318783394263,3.6639438161151006,6.4395616217947484,4.947321288284805,6.504137732458219,128016,3423769,3,2,3.2
6.799454023325209,39.80606319364125,0.9871430583975402,649903,10961664,11611567,4.251751367993063,5.644732704896764,5.039180506459122,4.467763366538358,4.201196814183526,128016,2423675,4,2,3.2
7.233253680204037,39.53746664195954,0.9865781991865511,836107,12934251,13770358,5.042225434711286,4.759803049419631,6.501416033923851,4.854907267253777,5.002894851924354,128016,2642823,5,2,3.2
6.019739231814773,40.33502682340451,0.9894682463398201,544814,11669579,12214393,4.472485250867079,5.366144023694014,4.216327815459915,5.470023133351782,4.449452256809311,128016,2122794,6,2,3.2
7.06659482506093,39.63870169834039,0.9949176956486432,979429,32058163,33037592,12.097215387139107,1.9839276421840915,7.6191725976229945,5.492265604935672,12.056623601621478,128016,5817519,7,2,3.2
6.522212067241595,39.986854452487066,0.9880701187747686,575479,6789641,7365120,2.6968503937007875,8.899270072992701,4.479629755613284,5.185964395823866,2.6804028802368953,128016,1300961,8,2,3.2
6.785813516474503,39.81478440406869,0.9655721940874148,861815,17260167,18121982,6.63563856275778,3.6168335229557123,6.702642374356894,4.9160672284374884,6.589541296547365,128016,3486129,9,2,3.2
7.568303595839582,39.34081815783727,0.9928956962074221,835169,19359985,20195154,7.3947619340551185,3.245540588598631,6.497710947363463,5.391816569176406,7.3681531286335975,128016,3577769,10,2,3.2
